"room name","a","b","start factor","end factor","tMin","tMax"
"Oktopusz",65.871,0.036,1.003,1.01,14,20
"Gólyafészek",160,-2.761,0.997,1.017,16,21
"PK",149.028,-6.888,0.999,1.022,14,21
"SZGK",182.744,-5.757,1.,1.04,14,21
"Mérce",66.42,-0.948,0.997,1.009,14,22
"DiósEdit",66.42,-0.948,0.997,1.009,14,21
"Lahmacun",71.551,4.770,0.996,1.024,14,19
"Gólyairoda",78.64,5.243,0.999,1.028,16,21
"GÉPműhely",78.64,5.243,0.999,1.028,14,21
"kisterem",78.64,5.243,0.999,1.028,14,21
"vendégtér",78.64,5.243,0.999,1.028,14,21
"Trafóház",300,0.036,1.003,1.01,10,20
